


商品名称 ：铜                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,576741,393716,期货公司  ,397072,13177,期货公司  ,398582,12506,
非期货公司,1215,-666,非期货公司,6420,-15,非期货公司,4910,656,
合约代码 ：cu1803                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
7,国投安信  ,8983,4932,7,中辉期货  ,6052,668,7,新湖期货  ,7280,804,
8,银河期货  ,7837,4298,8,上海大陆  ,5996,1612,8,光大期货  ,6984,648,
9,迈科期货  ,5953,3554,9,南华期货  ,5302,-205,9,五矿经易  ,6509,133,
10,国泰君安  ,5590,2509,10,鲁证期货  ,5063,289,10,迈科期货  ,6320,3740,
11,方正中期  ,5550,3656,11,申万期货  ,4700,-135,11,一德期货  ,6038,602,
12,兴证期货  ,5039,639,12,东航期货  ,4598,1344,12,鲁证期货  ,6018,1865,
13,徽商期货  ,5021,2344,13,一德期货  ,4529,1129,13,华泰期货  ,5664,3064,
14,宏源期货  ,4716,3862,14,信达期货  ,4521,117,14,华信期货  ,5453,133,
15,浙商期货  ,4451,2071,15,光大期货  ,4184,59,15,安粮期货  ,4960,145,
16,新世纪    ,4051,3427,16,兴证期货  ,4014,-113,16,浙商期货  ,4726,2034,
17,华信期货  ,3744,-483,17,国投安信  ,3715,523,17,中信建投  ,3966,610,
18,广发期货  ,3666,1848,18,方正中期  ,3436,145,18,广州期货  ,3770,-761,
19,光大期货  ,3665,-384,19,五矿经易  ,3311,-373,19,天风期货  ,3289,1,
20,弘业期货  ,3635,1857,20,宝城期货  ,3246,-99,20,海证期货  ,3147,4,
合计,,176182,85101,合计,,156861,27459,合计,,152074,19435,
商品名称 ：热轧卷板            2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,719914,353506,期货公司  ,328457,13879,期货公司  ,327657,13879,
非期货公司,0,0,非期货公司,0,0,非期货公司,800,0,
合约代码 ：hc1805                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,60782,23282,1,中信期货  ,33323,878,1,永安期货  ,55552,100,
2,东证期货  ,39353,15343,2,永安期货  ,23138,-775,2,中大期货  ,13721,-928,
3,中信期货  ,28153,8609,3,华泰期货  ,18479,3306,3,中国国际  ,11369,289,
4,永安期货  ,26483,10758,4,海通期货  ,11753,4309,4,浙商期货  ,11147,4483,
5,兴证期货  ,20125,5946,5,银河期货  ,11303,-634,5,鲁证期货  ,10461,-141,
6,方正中期  ,19535,11759,6,国泰君安  ,10510,2656,6,国贸期货  ,9760,54,
7,鲁证期货  ,17757,8600,7,光大期货  ,9652,168,7,华泰期货  ,8734,311,
8,华泰期货  ,17455,6973,8,方正中期  ,8021,-549,8,国泰君安  ,8409,-490,
9,国投安信  ,16815,7517,9,瑞达期货  ,7399,2913,9,中信期货  ,8303,1799,
10,银河期货  ,15907,8682,10,兴证期货  ,7218,3750,10,弘业期货  ,8202,123,
11,国泰君安  ,15896,6698,11,信达期货  ,6190,36,11,东海期货  ,8092,48,
12,徽商期货  ,13322,7782,12,一德期货  ,5875,-1022,12,南华期货  ,7994,-219,
13,南华期货  ,12192,7679,13,中财期货  ,5503,500,13,银河期货  ,7940,-333,
14,中国国际  ,11886,8294,14,国投安信  ,5398,658,14,海通期货  ,5754,-79,
15,中信建投  ,11502,6820,15,东兴期货  ,4888,779,15,兴证期货  ,5615,-1819,
16,一德期货  ,10515,7769,16,广发期货  ,4846,-1058,16,方正中期  ,5528,-1014,
17,浙商期货  ,10373,6536,17,海证期货  ,4583,14,17,一德期货  ,5113,-305,
18,广发期货  ,10175,7378,18,中金期货  ,4447,-194,18,招商期货  ,4685,2302,
19,西南期货  ,9905,1721,19,新湖期货  ,4032,-46,19,东证期货  ,4433,1716,
20,东航期货  ,9770,5171,20,南华期货  ,3620,591,20,新晟期货  ,4203,17,
合计,,377901,173317,合计,,190178,16280,合计,,205015,5914,
商品名称 ：石油沥青            2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,344770,118566,期货公司  ,235214,8842,期货公司  ,236764,8842,
非期货公司,0,-500,非期货公司,7650,0,非期货公司,6100,0,
合约代码 ：bu1806                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,永安期货  ,24676,12103,1,永安期货  ,29457,-2361,1,永安期货  ,41354,-355,
2,海通期货  ,17597,3134,2,银河期货  ,17135,2117,2,银河期货  ,9791,213,
3,东证期货  ,16244,-3089,3,申万期货  ,14242,984,3,方正中期  ,7440,569,
4,中信期货  ,16007,1511,4,华泰期货  ,10276,3245,4,中信期货  ,7352,-427,
5,国泰君安  ,15120,9120,5,中信期货  ,9654,-112,5,华信期货  ,6275,-13,
6,申万期货  ,15044,7817,6,长江期货  ,5727,6,6,建信期货  ,5875,126,
7,国海良时  ,9663,6852,7,五矿经易  ,4846,-608,7,上海大陆  ,5564,587,
8,华泰期货  ,9105,5176,8,国泰君安  ,4590,-2055,8,兴证期货  ,5479,1126,
9,兴证期货  ,8826,3938,9,鲁证期货  ,4224,2045,9,浙商期货  ,5315,-528,
10,国投安信  ,8282,902,10,光大期货  ,4162,-187,10,国海良时  ,4993,-515,
11,鲁证期货  ,8213,3520,11,广发期货  ,3854,-462,11,上海中期  ,4835,-75,
12,银河期货  ,6842,-1696,12,兴证期货  ,3521,1090,12,华泰期货  ,4831,334,
13,徽商期货  ,6316,1859,13,海通期货  ,3518,329,13,西南期货  ,4824,660,
14,广发期货  ,6237,2402,14,国都期货  ,3512,549,14,东证期货  ,4359,-71,
15,方正中期  ,6193,2941,15,宏源期货  ,3417,-84,15,国泰君安  ,4224,67,
16,东航期货  ,5373,2313,16,国信期货  ,3205,-166,16,东航期货  ,4196,138,
17,东海期货  ,4725,3649,17,东证期货  ,3062,71,17,五矿经易  ,4018,87,
18,华安期货  ,4636,2457,18,方正中期  ,2860,-260,18,山金期货  ,3931,-385,
19,冠通期货  ,4622,4283,19,一德期货  ,2713,1098,19,中银国际  ,3674,25,
20,上海大陆  ,4619,2495,20,浙商期货  ,2688,-245,20,申万期货  ,3668,1464,
合计,,198340,71687,合计,,136663,4994,合计,,141998,3027,
商品名称 ：天然橡胶            2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,544113,289523,期货公司  ,287655,-3449,期货公司  ,287585,-3430,
非期货公司,19,19,非期货公司,0,0,非期货公司,70,-19,
合约代码 ：ru1805                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,53527,23732,1,永安期货  ,7515,-254,1,永安期货  ,24223,-538,
2,国投安信  ,23060,10153,2,方正中期  ,6863,-183,2,国贸期货  ,9215,-86,
3,东证期货  ,21640,6265,3,中信期货  ,6797,-314,3,中信期货  ,9049,573,
4,方正中期  ,16700,4932,4,南华期货  ,6015,-131,4,银河期货  ,8373,192,
5,鲁证期货  ,13054,6516,5,银河期货  ,5969,-4,5,海通期货  ,8348,267,
6,中信期货  ,11657,4699,6,广发期货  ,5801,-702,6,华泰期货  ,7867,237,
7,国泰君安  ,10492,5704,7,海通期货  ,4788,396,7,中粮期货  ,7185,380,
8,徽商期货  ,10156,7507,8,中国国际  ,4641,558,8,国泰君安  ,6833,-1085,
9,永安期货  ,9228,5863,9,华泰期货  ,4439,446,9,浙商期货  ,6546,-132,
10,银河期货  ,8902,6043,10,国泰君安  ,4428,-133,10,大地期货  ,5303,-5,
11,华泰期货  ,8581,5033,11,徽商期货  ,4221,-110,11,方正中期  ,4906,-491,
12,南华期货  ,7919,3092,12,国投安信  ,3983,-359,12,中银国际  ,4735,-50,
13,兴证期货  ,7374,2435,13,国海良时  ,3972,-133,13,申万期货  ,4573,-62,
14,申万期货  ,7245,5054,14,浙商期货  ,3952,-300,14,东证期货  ,4213,-500,
15,金瑞期货  ,7212,1976,15,申万期货  ,3769,-81,15,南华期货  ,4172,-14,
16,中国国际  ,6950,3674,16,光大期货  ,3733,135,16,瑞达期货  ,4082,-304,
17,中信建投  ,6757,4309,17,中大期货  ,3706,-51,17,宝城期货  ,3696,-2,
18,华安期货  ,6153,4477,18,宏源期货  ,3565,-323,18,建信期货  ,3692,68,
19,光大期货  ,6075,2999,19,鲁证期货  ,3477,-220,19,广发期货  ,3685,27,
20,东航期货  ,5609,3106,20,招商期货  ,3310,-91,20,渤海期货  ,2699,-396,
合计,,248291,117569,合计,,94944,-1854,合计,,133395,-1921,
合约代码 ：ru1809                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,10251,5785,1,永安期货  ,2440,-190,1,永安期货  ,9272,123,
2,东证期货  ,7068,2626,2,银河期货  ,2423,118,2,大地期货  ,3485,-17,
3,鲁证期货  ,3994,1957,3,方正中期  ,1698,-24,3,新湖期货  ,3308,28,
4,中信期货  ,3298,2131,4,中信期货  ,1653,61,4,格林大华  ,2822,-671,
5,中钢期货  ,2923,2257,5,南华期货  ,1537,92,5,广发期货  ,2436,-3,
6,上海中期  ,2824,2090,6,中国国际  ,1480,117,6,建信期货  ,2391,11,
7,国投安信  ,2809,573,7,广发期货  ,1444,189,7,华泰期货  ,2102,33,
8,中融汇信  ,2040,875,8,五矿经易  ,1410,157,8,南华期货  ,2078,77,
9,华泰期货  ,1949,1389,9,华泰期货  ,1385,442,9,浙商期货  ,1940,86,
10,中信建投  ,1927,910,10,浙商期货  ,1287,180,10,五矿经易  ,1532,-15,
11,永安期货  ,1895,641,11,格林大华  ,1211,-71,11,国投安信  ,1481,-39,
12,国贸期货  ,1632,1334,12,中钢期货  ,1181,-172,12,银河期货  ,1401,63,
13,中辉期货  ,1482,1088,13,海通期货  ,1096,-549,13,海通期货  ,1344,8,
14,方正中期  ,1451,866,14,弘业期货  ,1068,-18,14,中信期货  ,1303,23,
15,光大期货  ,1441,1063,15,申万期货  ,1050,-18,15,东证期货  ,1291,-66,
16,申万期货  ,1348,847,16,光大期货  ,1021,95,16,国联期货  ,1168,51,
17,广发期货  ,1338,1076,17,东吴期货  ,988,154,17,信达期货  ,1100,9,
18,五矿经易  ,1288,1018,18,招商期货  ,942,52,18,国泰君安  ,1092,58,
19,铜冠金源  ,1249,819,19,瑞达期货  ,901,74,19,中粮期货  ,1025,29,
20,新湖期货  ,1203,897,20,徽商期货  ,876,89,20,方正中期  ,1001,125,
合计,,53410,30242,合计,,27091,778,合计,,43572,-87,
合约代码 ：ru1901                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,747,325,1,格林大华  ,2002,25,1,格林大华  ,1201,-24,
2,海通期货  ,646,373,2,永安期货  ,1310,62,2,银河期货  ,1073,62,
3,光大期货  ,371,298,3,华泰期货  ,981,19,3,中信期货  ,751,1,
4,南华期货  ,220,157,4,银河期货  ,713,0,4,中银国际  ,651,15,
5,中财期货  ,217,208,5,中粮期货  ,685,49,5,中融汇信  ,627,-31,
6,永安期货  ,181,-103,6,光大期货  ,606,242,6,华泰期货  ,567,10,
7,大地期货  ,171,154,7,金瑞期货  ,501,0,7,五矿经易  ,442,32,
8,中信期货  ,164,120,8,弘业期货  ,445,56,8,大地期货  ,426,156,
9,集成期货  ,123,70,9,首创京都  ,396,65,9,永安期货  ,410,55,
10,中粮期货  ,121,114,10,渤海期货  ,356,0,10,东兴期货  ,393,-1,
11,鲁证期货  ,119,60,11,建信期货  ,318,0,11,东证期货  ,374,-8,
12,东吴期货  ,99,73,12,中银国际  ,297,7,12,中粮期货  ,325,-10,
13,上海中期  ,94,45,13,国投安信  ,288,16,13,中航期货  ,309,-1,
14,申万期货  ,92,88,14,东吴期货  ,286,15,14,广发期货  ,308,6,
15,银河期货  ,90,67,15,兴证期货  ,272,2,15,光大期货  ,288,83,
16,方正中期  ,86,32,16,方正中期  ,224,52,16,信达期货  ,280,-3,
17,中钢期货  ,80,-1,17,东证期货  ,201,25,17,南华期货  ,278,101,
18,弘业期货  ,78,68,18,申万期货  ,191,80,18,国信期货  ,257,15,
19,国泰君安  ,73,42,19,海通期货  ,163,-92,19,中财期货  ,211,209,
20,格林大华  ,71,-48,20,先融期货  ,148,31,20,国联期货  ,200,-4,
合计,,3843,2142,合计,,10383,654,合计,,9371,663,
